"CrossingID","SubmissionType","ReportBaseId","ParentReportBaseId","CrossingClosed","ReportingAgencyTypeID","ReportingAgencyID","RevisionDate","ReasonID","CrossingIdSuffix","ReportStatus","LastUpdated","Railroad","StateCD","StateName","CntyCD","CountyName","Nearest","CityCD","CityName","Street","BlockNumb","Highway","SepInd","SepRr1","SepRr2","SepRr3","SepRr4","MultFrmsFiLed","SameInd","SameRr1","SameRr2","SameRr3","SameRr4","RrID","Ttstn","TtstnNam","RrMain","XingOwnr","TypeXing","XPurpose","PosXing","OpenPub","TypeTrnSrvcIDs","DevelTypID","XingAdj","XngAdjNo","Whistban","WhistDate","HscoRrid","SfxHscoRrid","Latitude","Longitude","LLsource","RrNarr1","RrNarr2","RrNarr3","RrNarr4","StNarr1","StNarr2","StNarr3","StNarr4","RrNarr","StNarr","PolCont","RrCont","HwyCont","THRRequestNo","CCMQzid","OperatingRailroadCode","OperatingRailroadType","RrDiv","RrSubDiv","Branch","PrfxMilePost","MilePost","SfxMilePost","Lt1PassMov","PassCnt","DayThru","NghtThru","TotalSwt","TotalLtr","Lt1Mov","WeekTrnMov","YearTrnMov","MaxTtSpd","MinSpd","MaxSpd","MainTrk","SidingTrk","YardTrk","TransitTrk","IndustryTrk","OthrTrk","OthrTrkDes","SpselIDs","Sgnleqp","EMonitorDvce","HealthMonitor","NoSigns","XBuck","StopStd","YieldStd","AdvWarn","AdvW10_1","AdvW10_2","AdvW10_3","AdvW10_4","AdvW10_11","AdvW10_12","Low_Grnd","Low_GrndSigns","PaveMrkIDs","Channel","Exempt","EnsSign","OthSgn","OthSgn1","OthDes1","OthSgn2","OthDes2","OthSgn3","OthDes3","PrvxSign","Led","Gates","GatePed","GateConf","GateConfType","FlashOv","FlashNov","CFlashType","FlashPost","FlashPostType","Bkl_FlashPost","Sdl_FlashPost","FlashPai","AwdIDate","AwhornChk","AwhornlDate","HwyTrafSignl","Wigwags","Bells","SpecPro","FlashOth","FlashOthDes","HwynrSig","Intrprmp","PrempType","HwtrfPsig","HwtrfPsigsdis","HwtrfPsiglndis","MonitorDev","WdCode","TraficLn","TraflnType","HwyPved","Downst","Illumina","XSurfDate","XSurfWidth","XSurfLength","XSurfaceIDs","XSurOthr","HwyNear","HwynDist","XAngle","ComPower","HwySys","HwyClassCD","HwyClassrdtpID","StHwy1","HwySpeed","HwySpeedps","LrsRouteid","LrsMilePost","Aadt","AadtYear","PctTruk","SchlBusChk","SchlBsCnt","HazmtVeh","EmrgncySrvc","ReportYear","ReportType"
"667022U","Full Inventory Record","3749573","3694050","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 10:48:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","COMMERCIAL","","City Street","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6722720","-93.9407200","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0288.90","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","","1","1","","","","","","2","","0","5","2","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","12","","1","75","3","1","8","0","19","2","","2","","","000100","1989","05","1","2","","","2017","Major"
"667062S","Full Inventory Record","3749748","3695395","No","1","61","11/13/2017 12:00:00 AM","20","AM","Published","11/13/2017 12:58:00 PM","AM","29","MO","29009","BARRY","0","290098148","WASHBURN","HWY 90","","MO 90","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","12","2","","0","","-1","","36.586863","-93.964276","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0307.10","","2","0","2","0","0","0","2","10","2017","49","20","40","1","0","0","0","0","0","","12","2","2","2","1","2","0","0","1","2","","","","","","2","","1","5","2","1","2","","","","","","","","","0","0","","","0","0","","2","2","1","1","4","-1","2","","2","0","1","0","0","","2","1","","2","","","0","7","2","2","1","2","2","","","","14","","1","75","3","1","3","0","17","1","45","1","","","001876","1991","20","1","2","","","2017","Major"
"667017X","Full Inventory Record","3749565","3694020","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 10:33:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","FR2050","","farm road","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6527400","-93.9498900","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0286.81","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","2","2","2","","","","18","","2","","3","2","8","0","19","2","","","","","000015","1982","05","2","","","","2017","Major"
"667073E","Full Inventory Record","3749766","3694743","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:15:00 PM","AM","29","MO","29009","BARRY","0","290097224","SELIGMAN","NORTH STREET","","City Street","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.8198810","-93.9211880","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0312.75","","2","0","2","0","0","0","2","10","2017","49","20","40","1","0","0","0","0","1","SIDING","0","2","2","2","1","2","2","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","","","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","12","","1","75","3","1","8","0","19","2","","2","","","000090","1989","10","1","2","","","2017","Major"
"667049D","Full Inventory Record","3749687","3694254","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:56:00 AM","AM","29","MO","29009","BARRY","0","290092610","EXETER","SNOOKS RD","","City Street","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","12","2","","0","","-1","","36.7526860","-93.9057920","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0300.90","","2","0","2","0","0","0","2","10","2017","40","30","40","1","0","0","0","0","1","SIDING","0","2","2","2","1","2","2","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","12","","2","","3","1","8","0","19","2","","2","","","000050","1989","05","1","2","","","2017","Major"
"667004W","Full Inventory Record","4726307","3749531","No","1","61","4/15/2021 12:00:00 AM","14","AM","Published","4/15/2021 9:33:13 AM","AM","29","MO","29009","BARRY","1","290095310","MONETT","COUNTY RD","","CITY","2","","","","","2","1","BNSF","","","","1002","579622","MONETT","-1","BNSF","3","1","1","","11","14","2","","0","","-1","","36.6186220","-93.9674610","2","","","","","","","","","BNSF MAINTAINS SIGNAL CROSSING","BNSF MAINTAINS SIGNAL CROSSING","8555037176","4797518600","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0282.12","","2","0","2","0","0","0","2","","2017","10","1","10","1","0","0","0","0","1","YARD","12","2","","","1","2","0","","1","2","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","4","0","","2","","2","2","8","","","","2","0","1","","0","","2","1","","","","","","7","2","2","1","2","2","","","","14","","2","","3","1","8","0","19","2","","","","","005610","1994","20","2","","","","2021","Major"
"667047P","Full Inventory Record","3749685","3695384","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:52:00 AM","AM","29","MO","29009","BARRY","0","290092610","EXETER","HWY 76","","MO 76","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.672273","-93.940856","1","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1TH","MAIN","","0300.65","","2","0","2","0","0","0","2","10","2017","40","20","40","1","0","0","0","0","2","SIDINGS","12","1","2","2","1","2","0","0","1","2","","","","","","2","","1,2","5","","1","2","","","","","","","","","0","","","","0","0","","2","2","1","1","4","-1","2","","2","0","1","0","0","","2","1","","2","","","0","7","2","2","1","2","2","","","","14","","1","75","3","1","2","0","19","1","","2","","","004556","1994","20","1","2","","","2017","Major"
"667008Y","Full Inventory Record","5007135","3749538","No","1","61","3/10/2022 12:00:00 AM","14","AM","Published","3/10/2022 11:13:02 AM","AM","29","MO","29009","BARRY","1","290095310","MONETT","MORRIS LN","","City Street","2","","","","","2","2","","","","","","","MONETT","-1","AM","3","1","1","","11","12","2","","0","","-1","","36.6247860","-93.9702150","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0283.04","","2","0","2","0","0","0","2","","2022","35","10","30","1","0","0","0","0","","","0","2","2","2","1","2","1","0","0","","","","","","","2","","0","","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","","0","0","0","","2","1","","2","","","0","4","1","2","2","2","2","","","","18","","1","75","3","1","8","0","19","2","","","","","000005","1989","10","2","","","","2022","Major"
"667045B","Full Inventory Record","3749663","3694212","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:48:00 AM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 2170","","farm road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7478940","-93.9046400","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0299.45","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","12","","2","","3","1","8","0","19","2","","2","","","000010","1989","05","1","2","","","2017","Major"
"667012N","Full Inventory Record","3749549","3694015","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 10:24:00 AM","AM","29","MO","29009","BARRY","1","290095310","MONETT","FR2030","","farm road","2","","","","","2","2","","","","","","579622","MONETT","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6393550","-93.9618380","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0284.80","","2","0","2","0","0","0","2","10","2017","35","20","35","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","1","1","","","","","","2","","0","","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","13","","2","","3","2","8","0","19","2","","","","","000015","1989","05","2","","","","2017","Major"
"667056N","Full Inventory Record","3749694","3694400","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 12:10:00 PM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 2212","","farm road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7751770","-93.9109650","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0304.17","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","2","2","2","","","","11","","2","","3","1","8","0","19","2","","","","","000015","1982","05","1","2","","","2017","Major"
"667035V","Full Inventory Record","3749637","3695296","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:25:00 AM","AM","29","MO","29009","BARRY","0","290091230","BUTTERFIELD","HWY U","","HWY U","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","12","2","","0","","-1","","36.749856","-93.905159","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0294.70","","2","0","2","0","0","0","2","10","2017","49","20","40","1","0","0","0","0","0","","0","1","2","2","1","2","0","0","1","2","","","","","","2","","1,2","5","","1","2","","","","","","","","","0","","","","0","0","","2","2","1","1","4","-1","2","","2","0","1","0","0","","2","1","","2","","","0","7","2","2","1","2","2","","","","14","","1","75","3","1","3","0","18","1","","2","","","000747","1991","10","1","2","","","2017","Major"
"667057V","Full Inventory Record","3749695","3694401","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 12:12:00 PM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 1060","","farm road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7797130","-93.9099580","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0304.50","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","2","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","14","","2","","3","1","8","0","19","2","","2","","","000015","1982","04","1","2","","","2017","Major"
"667051E","Full Inventory Record","3749689","3694392","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:59:00 AM","AM","29","MO","29009","BARRY","1","290092610","EXETER","FR 2195","","county Road","2","","","","","2","2","","","","","","579663","EXETER","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.7552380","-93.9077990","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0301.86","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","2","2","2","","","","18","","2","","3","2","8","0","19","2","","2","","","000015","1982","04","2","","","","2017","Major"
"667037J","Full Inventory Record","3749643","3694182","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:30:00 AM","AM","29","MO","29009","BARRY","0","290091230","BUTTERFIELD","FIRST STREET","","City Street","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","13","2","","0","","-1","","36.7159840","-93.9218140","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0295.09","","2","0","2","0","0","0","2","10","2017","49","30","40","1","0","0","0","0","0","","0","2","2","2","1","2","2","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","4","2","2","1","2","2","","","","13","","2","","3","1","8","0","19","2","","2","","","000050","1991","05","2","","","","2017","Major"
"667030L","Full Inventory Record","3749595","3694057","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 11:09:00 AM","AM","29","MO","29009","BARRY","1","290096540","PURDY","FR 2098","","farm road","2","","","","","2","2","","","","","","579644","PURDY","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.6895980","-93.9328460","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0291.67","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","2","2","1","2","2","","","","13","","1","500","2","1","8","0","19","2","","2","","","000010","1982","05","2","","","","2017","Major"
"667070J","Full Inventory Record","3749762","3694709","No","1","61","11/13/2017 12:00:00 AM","14","AM","Published","11/13/2017 1:10:00 PM","AM","29","MO","29009","BARRY","1","290097224","SELIGMAN","FR 2280","","farm road","2","","","","","2","2","","","","","","579698","SELIGMAN","-1","AM","3","1","1","","11","11","2","","0","","-1","","36.8154140","-93.9214480","2","","","","","","","","","","","8555037176","4797511281","5737517125","","","AM","Primary","SYSTEM","1ST","MAIN","","0311.85","","2","0","2","0","0","0","2","10","2017","49","35","40","1","0","0","0","0","0","","0","2","2","2","1","2","0","0","0","","","","","","","2","","0","5","","1","2","","","","","","","","","0","","","","0","0","","0","","2","2","0","-1","2","","2","0","0","0","0","","2","1","","2","","","0","3","1","2","1","2","2","","","","12","","2","","3","2","8","0","19","2","","2","","","000015","1982","05","1","2","","","2017","Major"
