,ReportBaseId,MultipleFormsFiled,ReportingAgencyId,ReportingAgencyTypeId,RevisionDate,PostmarkDate,ReasonId,CrossingId,CrossingIdSuffix,ReportStatus,ReportType,CreatedDate,CreatedBy,LastUpdatedDate,Railroad,StateCD,CntyCD,Nearest,CityCD,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFiled,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrvcIDs,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,Latitude,Longitude,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,PolCont,RrCont,HwyCont,OperatingRailroadCode,OperatingRailroadType,RrDiv,RrSubDiv,Branch,PrfxMilePost,MilePost,SfxMilePost,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTrk,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDvce,HealthMonitor,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSigns,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostType,Bkl_FlashPost,Sdl_FlashPost,FlashPai,AwdIDate,AwhornChk,AwhornlDate,HwyTrafSignl,Wigwags,Bells,SpecPro,FlashOth,FlashOthDes,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigsdis,HwtrfPsiglndis,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLength,XSurfaceIDs,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrdtpID,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePost,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrvc,geometry
23,992334,0,11815,2,1989-04-05T00:00:00,,16,604872K,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290376360,,,,2,,,,,,2,,,,,RIS 263.91,569916,PLEASANT HILL,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0263.91,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,11,,2,,3,1,8,0,19,2,,,,,000055,,20,2,0,,,POINT EMPTY
24,992335,0,11815,2,1989-04-05T00:00:00,,16,604874Y,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290376360,,,,,,,,,,,,,,,RIS 262.47,569916,PLEASANT HILL,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0262.47,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
25,992336,0,11815,2,1989-04-05T00:00:00,,16,604873S,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,0,290376360,COMMERCE,,58,2,,,,,,2,,,,,RIS 262.97,569916,PLEASANT HILL,,,3,1,1,,,13,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0262.97,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,2,SIDING-HOU,18,2,,,1,0,0,,1,,,,,,,,,0,,,,2,,,,,,,,,2,,,0,0,,2,,,,0,,,,2,0,1,,0,,,,,,,,,8,2,,1,2,,,,,12,,2,,3,1,2,0,19,1,,,,,002780,,04,2,0,,,POINT EMPTY
26,992337,0,11815,2,1989-04-05T00:00:00,,16,604878B,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290376360,,,,,,,,,,,,,,,RIS 261.03,569916,PLEASANT HILL,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0261.03,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
27,992338,0,11815,2,1989-04-05T00:00:00,,16,604879H,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290376360,,,,2,,,,,,2,,,,,RIS 260.50,569916,PLEASANT HILL,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0260.50,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,18,,2,,3,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
28,992339,0,11815,2,1989-04-05T00:00:00,,16,604881J,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 259.33,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0259.33,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
29,992340,0,11815,2,1989-04-05T00:00:00,,16,604880C,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 259.50,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0259.50,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,1,,2,2,,,,,18,,2,,2,2,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
30,992341,0,11815,2,1989-04-05T00:00:00,,16,604882R,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 258.53,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0258.53,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
31,992342,0,11815,2,1989-04-05T00:00:00,,16,604883X,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,2,,,,,,2,,,,,RIS 258.17,569912,STRASBURG,,,3,1,1,,,11,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0258.17,,,0,1,1.0,0.0,,,,,40,1,40,1,,,,,0,,18,2,,,1,1,0,,,,,,,,,,,0,,,,2,,,,,,,,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,3,2,,2,2,,,,,18,,2,,3,1,8,0,19,2,,,,,000005,,20,2,0,,,POINT EMPTY
32,992343,0,11815,2,1989-04-05T00:00:00,,16,604884E,SSW,Published,Major,,Migration,0001-01-01T00:00:00,SSW,29,29037,1,290377600,,,,,,,,,,,,,,,RIS 257.67,569912,STRASBURG,,,2,1,1,,,16,,,0,,,,,,,,,,,,,,,,5737517125,SSW,Primary,KANSAS CITY,2,ST. LOUIS,,0257.67,,,0,0,0.0,0.0,,,,,0,0,0,0,,,,,0,,,,,,2,0,0,,,,,,,,,,,,,,,2,,,,,,,2,,0,,,0,0,,0,,,,0,,,,2,0,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,POINT EMPTY
